Epoch	TrainLoss	SupLoss	ConsisLoss	TrainAcc	ValAcc	ValLoss	LR
1	0.7677	-0.0002	0.7679	0.0000	0.0000	6.4356	1.00e-03
2	0.2540	-0.0009	0.2550	0.0000	0.0000	6.8915	1.00e-03
3	0.0793	-0.0017	0.0810	0.0000	0.0000	6.8132	1.00e-03
4	0.0258	-0.0026	0.0285	0.0000	0.0000	6.7456	1.00e-03
5	0.0140	-0.0036	0.0176	0.0000	0.0000	6.7216	1.00e-03
6	0.0119	-0.0046	0.0165	0.0000	0.0000	6.7115	1.00e-03
7	0.0093	-0.0055	0.0148	0.0000	0.0000	6.7080	1.00e-03
8	0.0067	-0.0065	0.0131	0.0000	0.0000	6.7037	1.00e-03
9	0.0080	-0.0074	0.0155	0.0000	0.0000	6.7022	1.00e-03
10	0.0014	-0.0084	0.0098	0.0000	0.0000	6.7003	1.00e-03
11	0.0014	-0.0093	0.0107	0.0000	0.0000	6.7006	1.00e-03
12	-0.0013	-0.0103	0.0090	0.0000	0.0000	6.6991	1.00e-03
13	-0.0015	-0.0112	0.0097	0.0000	0.0000	6.6963	1.00e-03
14	-0.0027	-0.0122	0.0095	0.0000	0.0000	6.6934	1.00e-03
15	-0.0048	-0.0132	0.0084	0.0000	0.0000	6.6931	1.00e-03
16	-0.0060	-0.0141	0.0081	0.0000	0.0000	6.6916	1.00e-03
17	-0.0092	-0.0151	0.0059	0.0000	0.0000	6.6903	1.00e-03
18	-0.0079	-0.0160	0.0082	0.0000	0.0000	6.6885	1.00e-03
19	-0.0101	-0.0170	0.0068	0.0000	0.0000	6.6869	1.00e-03
20	-0.0106	-0.0179	0.0073	0.0000	0.0000	6.6844	1.00e-03
21	-0.0133	-0.0189	0.0056	0.0000	0.0000	6.6826	1.00e-03
22	-0.0141	-0.0198	0.0057	0.0000	0.0000	6.6835	1.00e-03
23	-0.0156	-0.0208	0.0052	0.0000	0.0000	6.6850	1.00e-03
24	-0.0157	-0.0217	0.0060	0.0000	0.0000	6.6862	1.00e-03
25	-0.0165	-0.0227	0.0062	0.0000	0.0000	6.6864	1.00e-03
26	-0.0184	-0.0237	0.0053	0.0000	0.0000	6.6866	1.00e-03
27	-0.0183	-0.0246	0.0063	0.0000	0.0000	6.6868	1.00e-03
28	-0.0209	-0.0256	0.0047	0.0000	0.0000	6.6866	1.00e-03
29	-0.0223	-0.0265	0.0043	0.0000	0.0000	6.6869	1.00e-03
30	-0.0225	-0.0275	0.0050	0.0000	0.0000	6.6861	1.00e-03
31	-0.0240	-0.0284	0.0044	0.0000	0.0000	6.6857	1.00e-03
32	-0.0255	-0.0294	0.0039	0.0000	0.0000	6.6855	1.00e-03
33	-0.0266	-0.0303	0.0037	0.0000	0.0000	6.6847	1.00e-03
34	-0.0276	-0.0313	0.0037	0.0000	0.0000	6.6846	1.00e-03
35	-0.0277	-0.0323	0.0045	0.0000	0.0000	6.6852	1.00e-03
36	-0.0285	-0.0332	0.0047	0.0000	0.0000	6.6863	1.00e-03
37	-0.0303	-0.0342	0.0039	0.0000	0.0000	6.6858	1.00e-03
38	-0.0309	-0.0351	0.0043	0.0000	0.0000	6.6847	1.00e-03
39	-0.0323	-0.0361	0.0038	0.0000	0.0000	6.6846	1.00e-03
40	-0.0334	-0.0370	0.0037	0.0000	0.0000	6.6838	1.00e-03
41	-0.0341	-0.0380	0.0039	0.0000	0.0000	6.6832	1.00e-03
42	-0.0349	-0.0389	0.0041	0.0000	0.0000	6.6824	1.00e-03
43	-0.0360	-0.0399	0.0039	0.0000	0.0000	6.6826	1.00e-03
44	-0.0380	-0.0408	0.0029	0.0000	0.0000	6.6835	1.00e-03
45	-0.0387	-0.0418	0.0031	0.0000	0.0000	6.6831	1.00e-03
46	-0.0389	-0.0428	0.0038	0.0000	0.0000	6.6831	1.00e-03
47	-0.0408	-0.0437	0.0029	0.0000	0.0000	6.6834	1.00e-03
48	-0.0416	-0.0447	0.0031	0.0000	0.0000	6.6833	1.00e-03
