epoch,train_loss,sup_loss,consis_loss,train_acc,val_acc
1,4.1396,2.656,1.4836,0.0,0.0
2,2.3324,1.2655,1.0668,0.0,0.0
3,2.0835,1.0943,0.9892,0.0,0.0
4,1.3642,0.7838,0.5804,0.75,0.7059
5,0.8679,0.6975,0.1704,0.75,0.7059
6,0.6769,0.6149,0.062,0.75,0.7059
7,0.7484,0.72,0.0284,0.75,0.7059
8,0.6735,0.6572,0.0164,0.75,0.7059
9,0.6105,0.6011,0.0095,0.75,0.7059
10,0.6815,0.6725,0.009,0.75,0.7059
11,0.539,0.532,0.007,0.75,0.7059
12,0.6331,0.6264,0.0067,0.75,0.7059
13,0.7023,0.6956,0.0067,0.75,0.7059
14,0.8066,0.7995,0.0072,0.75,0.7059
15,0.5755,0.5705,0.005,0.75,0.7059
16,0.5937,0.5884,0.0053,0.75,0.7059
17,0.5175,0.5122,0.0053,0.75,0.7059
18,0.6026,0.5978,0.0048,0.75,0.7059
19,0.5919,0.5862,0.0057,0.75,0.7059
20,0.6712,0.6634,0.0078,0.75,0.7059
21,0.4712,0.4649,0.0063,0.75,0.7059
22,0.4995,0.4917,0.0078,0.75,0.7059
23,0.5458,0.5349,0.0109,0.75,0.7059
24,0.643,0.633,0.01,0.75,0.7059
25,0.4868,0.4795,0.0073,0.75,0.7059
26,0.6518,0.6431,0.0087,0.75,0.7059
27,0.658,0.6483,0.0097,0.75,0.7059
28,0.671,0.6599,0.0111,0.75,0.7059
29,0.6569,0.6468,0.0101,0.75,0.7059
30,0.4405,0.4308,0.0097,0.75,0.7059
31,0.8626,0.8481,0.0145,0.7656,0.7059
32,0.5875,0.5811,0.0064,0.7656,0.7059
33,0.4699,0.464,0.0059,0.7812,0.7059
34,0.4242,0.4151,0.0091,0.7812,0.6471
35,0.5283,0.5197,0.0086,0.7969,0.6471
36,0.4433,0.437,0.0063,0.7812,0.6471
37,0.4203,0.4071,0.0132,0.7812,0.6471
38,0.3786,0.3703,0.0083,0.7969,0.6471
39,0.426,0.4174,0.0086,0.7656,0.7647
40,0.4831,0.4735,0.0096,0.7656,0.8235
41,0.5877,0.5796,0.0081,0.7656,0.8235
42,0.4453,0.4407,0.0046,0.7656,0.8235
43,0.4798,0.4722,0.0076,0.8125,0.8235
44,0.48,0.4714,0.0086,0.8125,0.8235
45,0.381,0.3762,0.0048,0.8125,0.8235
46,0.4556,0.4475,0.008,0.8125,0.8235
47,0.4947,0.4873,0.0073,0.8125,0.8235
48,0.5487,0.5403,0.0084,0.8125,0.8235
49,0.3406,0.3353,0.0053,0.8125,0.8235
50,0.3622,0.3551,0.0071,0.8125,0.8235
